;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
September '10;27,5 (50);27,2 (45);22,9 (42);5,5 (9);5,0 (8);4,6 (8);4,5 (7);0,0 (0);1,6 (0);1,2 (0)
August '10;26,6 (47);27,1 (45);22,8 (43);5,6 (9);5,0 (8);5,3 (9);4,6 (8);0,0 (0);1,8 (0);1,2 (0)
Juli '10;29,0 (52);25,5 (43);22,3 (41);5,6 (9);5,4 (9);5,1 (8);4,3 (7);0,0 (0);1,4 (0);1,5 (0)
Juni '10;28,7 (52);24,9 (43);23,5 (42);6,1 (11);5,3 (9);4,9 (9);3,8 (3);0,0 (0);1,5 (0);1,3 (0)
Mai '10;30,2 (54);24,3 (40);22,6 (42);5,9 (9);5,4 (9);4,9 (8);4,1 (7);0,0 (0);1,3 (0);1,3 (0)
April '10;29,8 (54);23,6 (41);23,9 (42);6,2 (11);5,2 (9);5,0 (9);3,8 (3);0,0 (0);1,3 (0);0,6 (0)
Mars '10;31,1 (55);22,2 (37);23,7 (42);6,2 (11);5,2 (9);4,8 (8);4,1 (7);0,0 (0);1,6 (0);0,3 (0)
Februar '10;32,6 (58);22,4 (39);22,7 (41);6,5 (11);5,1 (9);4,3 (8);3,9 (3);0,0 (0);1,5 (0);0,0 (0)
Januar '10;31,3 (55);21,5 (36);23,4 (42);6,5 (11);5,5 (9);5,3 (9);4,0 (7);0,0 (0);1,5 (0);0,0 (0)
Desember '09;30,7 (55);21,5 (35);23,1 (42);7,2 (12);5,4 (9);5,4 (9);4,1 (7);0,0 (0);1,8 (0);0,0 (0)
November '09;34,0 (59);20,1 (34);21,9 (39);6,0 (10);5,8 (10);5,8 (10);4,1 (7);0,0 (0);1,4 (0);0,0 (0)
Oktober '09;35,3 (61);19,3 (33);22,8 (41);6,1 (10);5,4 (9);4,4 (8);4,1 (7);0,0 (0);0,0 (0);0,0 (0)
September '09;32,6 (58);16,2 (27);23,0 (42);7,1 (12);6,0 (10);6,4 (11);5,3 (9);0,0 (0);0,0 (0);0,0 (0)
August '09;32,3 (59);14,1 (23);25,6 (45);7,5 (13);5,9 (10);6,1 (10);5,3 (9);0,0 (0);0,0 (0);0,0 (0)
Juli '09;33,5 (62);13,1 (21);27,5 (50);7,1 (11);5,2 (8);6,0 (9);4,9 (8);0,0 (0);0,0 (0);0,0 (0)
Juni '09;32,8 (60);13,6 (23);26,1 (46);7,2 (12);5,7 (9);5,9 (10);5,6 (9);0,0 (0);0,0 (0);0,0 (0)
Mai '09;32,9 (59);13,8 (23);26,4 (48);7,5 (12);5,0 (8);6,0 (10);5,4 (9);0,0 (0);0,0 (0);0,0 (0)
April '09;32,4 (57);13,9 (23);27,2 (49);7,1 (12);5,8 (10);6,0 (10);4,9 (8);0,0 (0);0,0 (0);0,0 (0)
Mars '09;32,8 (57);13,8 (23);27,3 (49);7,0 (12);5,5 (9);6,2 (10);5,0 (9);0,0 (0);0,0 (0);0,0 (0)
Februar '09;34,0 (61);15,2 (25);23,9 (43);7,1 (12);5,0 (8);5,9 (10);6,1 (10);0,0 (0);0,0 (0);0,0 (0)
Januar '09;33,9 (62);16,1 (27);23,2 (41);7,5 (12);5,5 (9);6,0 (10);4,8 (8);0,0 (0);0,0 (0);0,0 (0)
Desember '08;30,7 (54);17,4 (30);23,7 (42);7,8 (13);5,7 (10);6,3 (11);5,5 (9);0,0 (0);0,4 (0);0,0 (0)
November '08;31,4 (58);15,9 (26);24,2 (44);7,8 (12);5,5 (9);6,6 (11);5,8 (9);0,0 (0);1,4 (0);0,0 (0)
Oktober '08;30,6 (56);16,1 (25);26,7 (50);7,3 (12);5,3 (8);5,6 (9);5,5 (9);0,0 (0);1,2 (0);0,0 (0)
September '08;28,9 (53);15,2 (25);29,9 (55);6,3 (10);5,0 (8);5,7 (9);5,9 (9);0,0 (0);1,5 (0);0,0 (0)
August '08;26,6 (46);16,2 (28);30,9 (55);6,7 (12);5,2 (9);5,5 (9);6,0 (10);0,0 (0);1,7 (0);0,0 (0)
Juli '08;26,9 (47);17,2 (29);30,2 (55);6,6 (11);4,7 (8);6,1 (10);5,4 (9);0,0 (0);1,9 (0);0,0 (0)
Juni '08;26,0 (46);17,6 (30);28,9 (53);6,9 (11);5,3 (9);6,1 (10);5,9 (10);0,0 (0);1,8 (0);0,0 (0)
Mai '08;28,9 (49);17,8 (32);25,9 (44);6,7 (12);5,7 (10);6,2 (11);6,2 (11);0,0 (0);1,4 (0);0,0 (0)
April '08;29,0 (50);16,9 (30);25,4 (44);6,5 (11);5,5 (10);7,0 (12);6,8 (12);0,0 (0);1,2 (0);0,0 (0)
Mars '08;28,7 (49);18,1 (32);25,2 (44);7,0 (12);5,6 (10);6,1 (11);6,3 (11);0,0 (0);1,1 (0);0,0 (0)
Februar '08;29,0 (50);17,3 (31);25,2 (44);6,7 (12);5,9 (10);6,3 (11);6,6 (11);0,0 (0);1,3 (0);0,0 (0)
Januar '08;29,3 (51);17,2 (30);23,9 (42);7,4 (13);6,1 (11);6,4 (11);6,5 (11);0,0 (0);1,3 (0);0,0 (0)
